paper,issue,short_description,coding,rationale
01,1,Shipped `education` variable is wrong scale/variable vs published Table 2 (1-8 ordinal incompatible with published coef 0.00002),major,Coding error impacting an IV; impacts estimation.
01,2,14 sentinel values (-3105) in `education`; published N (15419) implies the published run had no education missingness,major,Data irregularity impacting an IV (sentinel values); Brodeur standard explicitly covers data irregularities.
01,3,`education` and `lucid_education` identical; package lacks any variable that could reproduce published cols 3-4,minor,Package-completeness evidence supporting issue 1; not a distinct coding/specification/merge error.
01,4,Shipped tables/_Table02.tex disagrees with the published Table 2,minor,"Packaging/version inconsistency (evidence of issue 1), not itself a variable, model, or merge error."
01,5,dplyr::recode of DV emits unreplaced-values-to-NA warnings; categories exhaustive here,minor,Latent risk; report itself says not an error in this data.
02,I1,`NewArrest` (arrest-rate IV) constructed inverted: asinh(attacks/(arrests+1)) instead of arrests/attacks as defined in Methods,major,IV construction error; reverses headline.
02,I2,Charge rate logically impossible (charges > arrests in 55 country-years; ratio up to 17),major,Data irregularity impacting the charge-rate IV.
02,I3,"Applied transform is not the IHS stated in Methods (asinh(1+x)-like, nonzero at 0)",major,Transform error impacting analysis variables.
02,I4,Two conflicting sentence variables; `SentenceSin` derives from `sentence` not `length`; paper describes 'average number of years',major,Data irregularity impacting the sentence IV; that coefficient is the one that fails to reproduce.
02,I5,"DV is per 10,000 population; paper states per 100,000",major,DV units error.
02,I6,No analysis code shipped (plotting script only) despite code-availability statement,minor,"Availability/packaging failure; not a coding, specification, or merge error."
03,1,Published Figure 4 x-axis category order differs from shipped factor levels,minor,Cosmetic/presentation; values identical.
03,2,mutate() arrow-assignment bug creates junk columns; intended recomputation of alignment variables silently dropped; raw columns used downstream,minor,"Not counted as major: Genuine coding error, but verified to leave analysis variables holding intended values; no theoretical path to impacting claims demonstrated."
03,3,GMO belief outcome non-missing for only 52 respondents,minor,"Verified data feature, not an error."
04,1,Tables code restricts Panel A col 6 to `if any_time==1` (N=107749); published col 6 is full sample (N=210586),major,Coding error (wrong sample filter) impacting the published estimates.
04,2,Income variables used by tables code (hhinc1-hhinc6) do not exist in the cleaned data; published table built on the income coding the I4R review flagged as erroneous,major,Coding error in analysis covariates; published table rests on erroneous coding.
04,3,Corrected 02_cleaning.do uses seven income variables and two others it never creates; file cannot execute,minor,"Script breakage in the package (post-publication corrected file); not a defect in the published analysis's variables, model, or merges."
04,4,`somcol` mixes respondent education (peeduca) with partner education (parteduc) in one condition,major,Coding error impacting an IV; could in theory impact estimation (impact low for assigned panel).
04,5,`any_waiting` uses `> 0` test that would capture Stata missings,minor,"Latent bug; no missing values exist, so no error is realized (verified in report)."
05,1,IHST columns scale note vs code (USD-scaled inputs),minor,"Report codes this as a transparency note, explicitly 'not an error'."
06,1,DD codes 1921 as treated; text describes 'period after 1921' and event study uses 1921 as reference year,minor,"Not counted as major: Treatment-variable coding vs text; could in theory impact claims, but report deems coding defensible and robustness shows stability."
06,2,Quota exposure group means vary slightly across post years,minor,Verified as unbalanced-panel artifact; report: 'not an error'.
06,3,'catagory' misspelling in file/variable names,minor,Cosmetic.
06,4,Data file carries 1900-1940 but DV non-missing only 1900-1937,minor,Verified consistent with stated window; no spurious rows enter the regression.
06,5,Cols 5-6 N drop matches paper footnote,minor,Confirms the paper; not an error.
07,1,Quarterly dummies omitted from IV columns although paper states all regressions include them; adding them moves Reform coef -0.123 to -0.170 (+38%),major,Specification/coding error; moves assigned coefficient 38%.
07,2,Hard-coded absolute Windows path; referenced raw file not shipped,minor,Portability/packaging; no effect on estimates.
07,3,"Sample-flag inconsistency: col 2/6 use sample1, LSDV cols use pre-existing `sample`, within-IV cols rely on earlier keep",minor,Not counted as major: Filter irregularity across columns; no demonstrated impact on any estimate.
07,4,"`dist` defined only for the 2013 treated window, 0 for controls",minor,"Design oddity; coefficient tiny, no impact per report."
