rr_id,claim_id,report_id,repro_version_of_record
3g3,0DO8_single-trace,3g3_578_1,T
28884,0P4r_1rz255,28884_231_1,T
28884,0P4r_3n6yo5,28884_229_1,T
28884,0P4r_6rpyov,28884_228_1,T
28884,0P4r_855y48,28884_232_1,T
28884,0P4r_djjn3z,28884_233_1,T
28884,0P4r_l8rjny,28884_227_1,T
28884,0P4r_rqq4wz,28884_235_1,T
28884,0P4r_w7rjw7,28884_230_1,F
5066,0P4r_single-trace,5066_682_1,T
28884,0P4r_v998jj,28884_234_1,T
28884,0P4r_yyyd4j,28884_616_1,T
g241,0PZl_single-trace,g241_526_1,T
6okm6,0a3Z_g3711w,6okm6_120_1,T
6okm6,0a3Z_gw2pp2,6okm6_121_1,T
6okm6,0a3Z_gpk99l,6okm6_122_1,T
6okm6,0a3Z_mqy444,6okm6_123_1,T
y401,0a3Z_single-trace,y401_569_1,F
6my96,0qar_blj3kw,6my96_596_1,T
6my96,0qar_g3y87k,6my96_598_1,T
6my96,0qar_gwjq2v,6my96_599_1,T
756g,0qar_single-trace,756g_35_1,F
6my96,0qar_m6y8d5,6my96_597_1,T
4142,2GKO_single-trace,4142_499_1,T
41z0,2NAG_single-trace,41z0_580_1,T
50m6,2Nzk_single-trace,50m6_679_1,T
2g781,2lb5_437d94,2g781_239_1,T
2g781,2lb5_6rzo5z,2g781_236_1,T
2g781,2lb5_8x1972,2g781_241_1,T
2g781,2lb5_nr51jj,2g781_243_1,T
2g781,2lb5_orvd1z,2g781_242_1,T
2g781,2lb5_pp9v4r,2g781_237_1,T
2g781,2lb5_q7415p,2g781_238_1,T
174z,2lb5_single-trace,174z_485_1,T
2g781,2lb5_yrvox7,2g781_240_1,T
6zzok,3B4j_single-trace,6zzok_182_1,T
675ko,3WmY_single-trace,675ko_245_1,T
05g8,3aPw_single-trace,05g8_562_1,T
6797,3zRW_single-trace,6797_510_1,T
3gg3,4XLv_single-trace,3gg3_496_1,T
3z5z,4q0L_single-trace,3z5z_557_1,T
2wkk2,5Awm_single-trace,2wkk2_196_1,T
1y52,5KrD_single-trace,1y52_553_1,T
zzz1,5N2E_single-trace,zzz1_595_1,T
2k4w6,5PyD_pp36jq,2k4w6_298_1,T
2k4w6,5PyD_q7w3nr,2k4w6_299_1,T
2k4w6,5PyD_j6o1rx,2k4w6_301_1,F
600k,5PyD_single-trace,600k_507_1,T
2k4w6,5PyD_x64975,2k4w6_300_1,T
99y,7NEL_single-trace,99y_590_1,T
2g9z2,7WjP_m52v4z,2g9z2_409_1,T
2g9z2,7WjP_my2oxz,2g9z2_410_1,T
2g9z2,7WjP_g42d91,2g9z2_408_1,T
21k52,7X54_m6qkxx,21k52_62_1,T
93k7,7X54_single-trace,93k7_558_1,T
5g68,7d4J_single-trace,5g68_504_1,T
k97z,7ybJ_single-trace,k97z_538_1,T
6zzyw,88xa_bd4vqj,6zzyw_675_1,T
6zzyw,88xa_m526y2,6zzyw_671_1,T
6zzyw,88xa_m82do4,6zzyw_673_1,T
6zzyw,88xa_my2n19,6zzyw_672_1,T
6168,88xa_single-trace,6168_508_1,T
6zzyw,88xa_boy4np,6zzyw_674_1,F
69yok,8R9d_2kjpzv,69yok_58_1,T
69yok,8R9d_4d9x6l,69yok_55_1,T
69yok,8R9d_5v4j3k,69yok_56_1,T
69yok,8R9d_8974q1,69yok_59_1,T
69yok,8R9d_9q35x9,69yok_54_1,T
69yok,8R9d_b31372,69yok_53_1,T
69yok,8R9d_b7lx28,69yok_49_1,T
69yok,8R9d_bkpj4j,69yok_48_1,T
69yok,8R9d_d5r3o4,69yok_42_1,T
69yok,8R9d_g6zqdl,69yok_52_1,T
69yok,8R9d_gdrl4o,69yok_45_1,T
69yok,8R9d_grz8yk,69yok_46_1,T
69yok,8R9d_gzjkoy,69yok_50_1,T
69yok,8R9d_mlq1kp,69yok_51_1,T
69yok,8R9d_n1j7wn,69yok_61_1,T
69yok,8R9d_od1lpq,69yok_60_1,T
69yok,8R9d_r1zw73,69yok_43_1,T
69yok,8R9d_mvwky9,69yok_47_1,T
285g,8R9d_single-trace,285g_687_1,F
69yok,8R9d_v4wj5w,69yok_44_1,T
69yok,8R9d_yox4lo,69yok_57_1,T
1564,8Wy0_single-trace,1564_484_1,T
21474,9DZl_7v1odx,21474_169_1,T
21474,9DZl_9kdozq,21474_166_1,T
21474,9DZl_b3vqrj,21474_165_1,T
21474,9DZl_dv7xy3,21474_167_1,T
21474,9DZl_g6j1l6,21474_164_1,T
21474,9DZl_grdwrw,21474_162_1,T
21474,9DZl_k1rz68,21474_168_1,T
21474,9DZl_mvdj65,21474_163_1,T
21474,9DZl_gd73pr,21474_161_1,T
0008,9DZl_single-trace,0008_479_1,F
247gz,9OK1_1r9r3o,247gz_661_1,T
247gz,9OK1_2npy15,247gz_666_1,T
247gz,9OK1_3n2npq,247gz_655_1,T
247gz,9OK1_4zxykz,247gz_663_1,T
247gz,9OK1_5lj7o9,247gz_664_1,T
6oy46,9OK1_6rvr3z,6oy46_473_1,T
247gz,9OK1_6rvr3z,247gz_654_1,F
247gz,9OK1_8w4znp,247gz_667_1,T
247gz,9OK1_9p5lon,247gz_662_1,T
247gz,9OK1_d93zkv,247gz_670_1,T
247gz,9OK1_j626r5,247gz_660_1,T
6oy46,9OK1_l8d8wj,6oy46_474_1,T
247gz,9OK1_l8d8wj,247gz_653_1,F
247gz,9OK1_nl79vv,247gz_669_1,T
247gz,9OK1_o7lz2k,247gz_668_1,T
247gz,9OK1_q7q7np,247gz_658_1,T
247gz,9OK1_ppwpjr,247gz_657_1,T
y486,9OK1_single-trace,y486_685_1,F
247gz,9OK1_w7d7ly,247gz_656_1,T
247gz,9OK1_x6v67k,247gz_659_1,T
247gz,9OK1_y549wp,247gz_665_1,T
m93,9XrX_single-trace,m93_540_1,T
69y31,9ey_mvny2k,69y31_178_1,F
281k5,9ey_mvny2k,281k5_694_2,T
69y31,9ey_single-trace,69y31_177_1,T
281k5,9ey_single-trace,281k5_694_1,F
2kg19,9lBL_236wwv,2kg19_108_1,T
2kg19,9lBL_4pwnnl,2kg19_105_1,T
2kg19,9lBL_5qpnnk,2kg19_106_1,T
2kg19,9lBL_8vjpp1,2kg19_109_1,T
2kg19,9lBL_941rr9,2kg19_104_1,T
2kg19,9lBL_b32wk2,2kg19_103_1,T
2kg19,9lBL_b7zjk8,2kg19_99_1,T
2kg19,9lBL_bkoqkj,2kg19_98_1,T
2kg19,9lBL_g6vxkl,2kg19_102_1,T
2kg19,9lBL_gd628o,2kg19_95_1,T
2kg19,9lBL_grj92k,2kg19_96_1,T
2kg19,9lBL_gz63ny,2kg19_100_1,T
2kg19,9lBL_mldx5p,2kg19_101_1,T
2kg19,9lBL_nn422n,2kg19_111_1,T
2kg19,9lBL_o95wwq,2kg19_110_1,T
2kg19,9lBL_mvo7l9,2kg19_97_1,T
g45m,9lBL_single-trace,g45m_528_1,F
2kg19,9lBL_y6k88o,2kg19_107_1,T
288zk,9wya_g3j7jq,288zk_693_3,T
288zk,9wya_gp1k1r,288zk_693_5,T
288zk,9wya_gwo2oy,288zk_693_4,T
288zk,9wya_m64d4z,288zk_693_2,T
9k2y,9wya_single-trace,9k2y_524_1,F
k8z7,9wya_single-trace,k8z7_537_1,T
288zk,9wya_blpkpj,288zk_693_1,F
6m3zm,AQgj_b6v8n6,6m3zm_290_1,T
6m3zm,AQgj_bz6lwk,6m3zm_289_1,T
6m3zm,AQgj_mko63d,6m3zm_287_1,T
6m3zm,AQgj_mpwxow,6m3zm_291_1,T
6m3zm,AQgj_nn69kl,6m3zm_292_1,T
6m3zm,AQgj_m7zdw4,6m3zm_288_1,T
o08,AQgj_single-trace,o08_545_1,F
2w9ko,AXBY_single-trace,2w9ko_275_1,T
65z92,AqDO_21v1on,65z92_222_1,T
65z92,AqDO_8rlrky,65z92_226_1,T
65z92,AqDO_dx1x5w,65z92_225_1,T
65z92,AqDO_n3k3qz,65z92_224_1,T
65z92,AqDO_single-trace,65z92_221_1,T
65z92,AqDO_ok8kxo,65z92_223_1,F
21352,AvOr_b7dlq4,21352_37_1,T
21352,AvOr_gzljvk,21352_38_1,T
21352,AvOr_ml3qr2,21352_39_1,T
21352,AvOr_gdyrdr,21352_36_1,T
mzk9,AvOr_single-trace,mzk9_544_1,F
3213,BN8d_single-trace,3213_576_1,T
378,BNrd_single-trace,378_579_1,T
42k8,BebG_single-trace,42k8_568_1,T
6zz1k,BrGp_b15j8q,6zz1k_321_1,T
24783,BrGp_b15j8q,24783_475_1,F
24783,BrGp_g3ov8l,24783_277_1,F
6zz1k,BrGp_g3ov8l,6zz1k_318_1,T
6zz1k,BrGp_gjvjlo,6zz1k_320_1,T
24783,BrGp_gjvjlo,24783_476_1,F
24783,BrGp_gww8qr,24783_278_1,F
6zz1k,BrGp_gww8qr,6zz1k_319_1,T
24783,BrGp_blv93q,24783_276_1,F
6zz1k,BrGp_blv93q,6zz1k_317_1,T
6zz1k,BrGp_y3kqy7,6zz1k_322_1,T
24783,BrGp_y3kqy7,24783_477_1,F
g931,ByBk_single-trace,g931_534_1,T
k637,D2LY_single-trace,k637_536_1,T
kzmz,DDj2_single-trace,kzmz_683_1,T
6zzzk,DEmL_21r51y,6zzzk_30_1,T
6zzzk,DEmL_5o6doq,6zzzk_29_1,T
6zzzk,DEmL_kz1ozy,6zzzk_34_1,T
6zzzk,DEmL_n3dz3w,6zzzk_32_1,T
6zzzk,DEmL_ok46kl,6zzzk_31_1,T
6zzzk,DEmL_single-trace,6zzzk_28_1,T
6zzzk,DEmL_vn2onk,6zzzk_33_1,T
2g486,DEqr_blw3kn,2g486_600_1,T
2g486,DEqr_g3p87v,2g486_602_1,T
2g486,DEqr_gwlq2q,2g486_603_1,T
2g486,DEqr_m638d7,2g486_601_1,T
2g486,DEqr_mqnzyy,2g486_605_1,T
3g03,DEqr_single-trace,3g03_495_1,F
2g486,DEqr_gpjxk5,2g486_604_1,T
z789,E0Q3_single-trace,z789_549_1,T
994g,E32j_single-trace,994g_678_1,T
m457,E3ja_single-trace,m457_593_1,T
69y39,E4Am_g39923,69y39_172_1,T
69y39,E4Am_gpvvw3,69y39_174_1,T
69y39,E4Am_gwvvdx,69y39_173_1,T
69y39,E4Am_m6oov9,69y39_171_1,T
69y39,E4Am_mq11q9,69y39_175_1,T
69y39,E4Am_single-trace,69y39_170_1,F
93mg,E4Am_single-trace,93mg_519_1,T
95y,E5qr_single-trace,95y_559_1,T
675g9,EAa_single-trace,675g9_12_1,T
191z,EKBZ_single-trace,191z_486_1,T
3z3k,EQxa_single-trace,3z3k_498_1,T
2y9w2,EdQy_6rd9rk,2y9w2_392_1,T
2y9w2,EdQy_9xxwld,2y9w2_395_1,T
2y9w2,EdQy_j6k76k,2y9w2_394_1,T
2y9w2,EdQy_l8kz8o,2y9w2_391_1,T
2y9w2,EdQy_ppk7pd,2y9w2_393_1,T
6g28,EdQy_single-trace,6g28_511_1,T
g2z,G0Kb_single-trace,g2z_676_1,T
2zg7,G1Lr_single-trace,2zg7_489_1,T
67519,G4mp_single-trace,67519_179_1,T
302k,G55r_single-trace,302k_490_1,T
y4m6,GJe4_single-trace,y4m6_688_1,T
50y8,GOYb_single-trace,50y8_501_1,T
6m37m,GQvr_b2ndk6,6m37m_467_1,T
6m37m,GQvr_bo7od7,6m37m_468_1,T
6m37m,GQvr_g4zvd6,6m37m_469_1,T
6m37m,GQvr_m5lzvw,6m37m_470_1,T
6m37m,GQvr_m8w39o,6m37m_471_1,T
6m37m,GQvr_my5poy,6m37m_472_1,T
65996,Gv3O_2l95y4,65996_308_1,T
65996,Gv3O_5ojq61,65996_306_1,T
65996,Gv3O_j61p8w,65996_305_1,T
