paper_id,claim_id,Disagreement explanation,LLM error?,Miske error?,Errors in,Coder,Other notes
0P4r,0P4r_yyyd4j,Problem with Miske's orig_outcomes.csv (not present in that file) combined with bug in their code.,No,Yes,SCORE,Yoel,
8R9d,8R9d_4d9x6l,Changes in SeMNet package cause different results. Author's script does not pin version. LLM figured out some functions needed to be renamed.,No,No,Neither,Yoel,
8R9d,8R9d_b31372,Changes in SeMNet package cause different results. Author's script does not pin version. LLM figured out some functions needed to be renamed.,No,No,Neither,Yoel,
8R9d,8R9d_g6zqdl,Changes in SeMNet package cause different results. Author's script does not pin version. LLM figured out some functions needed to be renamed.,No,No,Neither,Yoel,
8R9d,8R9d_grz8yk,Changes in SeMNet package cause different results. Author's script does not pin version. LLM figured out some functions needed to be renamed.,No,No,Neither,Yoel,
9DZl,9DZl_7v1odx,Rounding difference caused by SPSS default level of precision,No,No,Neither,Yoel,
9DZl,9DZl_dv7xy3,"Two separata analyst reports, Miske kept the first (incorrect) one. But the transparency report shows exact reproduction, same as the LLM.",No,Yes,SCORE,Yoel,
9DZl,9DZl_grdwrw,"Two separata analyst reports, Miske kept the first (incorrect) one. But the transparency report shows exact reproduction, same as the LLM.",No,Yes,SCORE,Yoel,
9DZl,9DZl_k1rz68,"Two separata analyst reports, Miske kept the first (incorrect) one. But the transparency report shows exact reproduction, same as the LLM.",No,Yes,SCORE,Yoel,
9wya,9wya_g3j7jq,LLM is correct that the output from the code does not match the VOR PDF. Code was updated and a corrigendum was published (https://www.cambridge.org/core/journals/american-political-science-review/article/when-the-money-stops-fluctuations-in-financial-remittances-and-incumbent-approval-in-central-eastern-europe-the-caucasus-and-central-asiacorrigendum/9F9F7DACC2DECBB6CAAC0D56893D7AE4). The code output matches the corrected Table 2.,No,No,Neither,Yoel,
9wya,9wya_gwo2oy,LLM is correct that the output from the code does not match the VOR PDF. Code was updated and a corrigendum was published (https://www.cambridge.org/core/journals/american-political-science-review/article/when-the-money-stops-fluctuations-in-financial-remittances-and-incumbent-approval-in-central-eastern-europe-the-caucasus-and-central-asiacorrigendum/9F9F7DACC2DECBB6CAAC0D56893D7AE4). The code output matches the corrected Table 3.,No,No,Neither,Yoel,
9wya,9wya_m64d4z,LLM is correct that the output from the code does not match the VOR PDF. Code was updated and a corrigendum was published (https://www.cambridge.org/core/journals/american-political-science-review/article/when-the-money-stops-fluctuations-in-financial-remittances-and-incumbent-approval-in-central-eastern-europe-the-caucasus-and-central-asiacorrigendum/9F9F7DACC2DECBB6CAAC0D56893D7AE4). The code output matches the corrected Table 2.,No,No,Neither,Yoel,
9wya,9wya_single-trace,LLM is correct that the output from the code does not match the VOR PDF. Code was updated and a corrigendum was published (https://www.cambridge.org/core/journals/american-political-science-review/article/when-the-money-stops-fluctuations-in-financial-remittances-and-incumbent-approval-in-central-eastern-europe-the-caucasus-and-central-asiacorrigendum/9F9F7DACC2DECBB6CAAC0D56893D7AE4). The code output matches the corrected Table 2.,No,No,Neither,Yoel,
9XrX,9XrX_single-trace,"Looks like the analyst came back a second time and succeeded but never filed that success attempt? Also, looks like the LLM just used the archived results rather than running the full JAGS models itself (this is not what the analyst did)",Yes,Yes,Both,Yoel,
E4Am,E4Am_gwvvdx,"The analyst excluded one participant following instructions from the authors, but the LLM did not know to do this, and the exclusion was not documented in the data/code.",No,No,Neither,Yoel,
EAa,EAa_single-trace,"Data file did not label variables well. The analyst was not able to find the right DVs, but the LLM was.",No,Yes,SCORE,Yoel,
EQxa,EQxa_single-trace,"Analyst reported F of 29.049, should round down to 29, seems like a bug in Miske code",No,Yes,SCORE,Yoel,
G0Kb,G0Kb_single-trace,"LLM pulled in a newer (corrected) version of the data/code posted by the first author, likely in response to Miske's replication attempt (which failed)",No,No,Neither,Yoel,
G4mp,G4mp_single-trace,LLM used statistic from paper rather than reading the graph,No,No,Neither,Yoel,
GJe4,GJe4_single-trace,Analysts weren't able to run the R script (no detailed report though). LLM seemed to have no issues.,No,Yes,SCORE,Yoel,
Gv3O,Gv3O_2l95y4,"LLM didn't have SAS available and used Stata instead, got slightly different results",Yes,No,LLM,Yoel,
J999,J999_22zkkv,Seems like analyst entered p = .001 rather than p < .001. Verified that p-value is actually  .0008.,No,Yes,SCORE,Yoel,
J999,J999_6dwooq,"Analyst got a value that rounds differently (-.0013522, rounds to -.0014) but not sure why",No,No,Neither,Yoel,
JRpA,JRpA_l8j9xn,"Analyst was testing the term violence rather than violence-squared, but orig_outcomes had the violence-squared term. Manually over-ridden to ""approximate"" by Miske (which is still wrong).",No,Yes,SCORE,Yoel,
Kj9d,Kj9d_single-trace,"I'm really not sure. The analyst seems to have been working with different data files, and there is no documentation for how the text-delimited data would have been transformed into the SPSS datafile they seem to have used (nor does their report mention anything about this, nor indeed where they accessed the data). The LLM aggregation of the text data and ANOVA, implemented in Python, gave the correct stats.",No,No,Neither,Yoel,
l22v,l22v_single-trace,"Two major problems: different dataset and different ways of AR specification used by Miske. [1] LLM downloaded a dataset uploaded by the author(same dataset used in the paper). Miske created data from the same sources, alternative sources when og source couldn't be found, and separately coded new data for all countries in the sample between 2010-2017(new time period not mentioned in paper). [2] Paper: with panel-corrected standard errors and AR 1 corrections | LLM: common AR(1) across all panels | Miske: panel-specific AR(1)",No,Yes,SCORE,Jacky,"Miske logs this as a ""hybrid"" reproduction type"
LbEB,LbEB_m8lkk9,"Sign flip error in paper caused LLM to conclude not reproduced. Miske's ""precise"" is due to a logic error in their script.",No,Yes,SCORE,Yoel,
LbEB,LbEB_myjqqn,"Miske error on what N should be. The paper says N = 95 and then (right before the focal analysis) ""one participant was excluded for [reason]."" They are actually excluding that person in a filter (in the code) so that is correct but Miske codes 95 as not matching 94 precisely.",No,Yes,SCORE,Yoel,
LyWB,LyWB_48o2zd,As best I can tell the analyst misread the output (verified their output gives correct results),No,Yes,SCORE,Yoel,"p-values actually a bit higher than what is in the paper (this is why LLM says ""approximate"")"
LyWB,LyWB_9zwvp8,As best I can tell the analyst misread the output (verified their output gives correct results),No,Yes,SCORE,Yoel,"p-values actually a bit higher than what is in the paper (this is why LLM says ""approximate"")"
Pxp7,Pxp7_b4137v,LLM unable to read Figure,Yes,No,LLM,Yoel,
q8xv,q8xv_22jnnj,"Discrepancy comes from LLM using the original paper code(STATA), and Miske using coder-generated code(R). There is a difference in weighing(LLM - # of survey respondents, Miske - population), and a difference in N.",No,Yes,SCORE,Jacky,"Miske logs this as a ""data analytic reproduction"""
q8xv,q8xv_524ll2,"Discrepancy comes from LLM using the original paper code(STATA), and Miske using coder-generated code(R). There is a difference in weighing(LLM - # of survey respondents, Miske - population), and a difference in N. The r value is also different - Miske recalculated the r value on IDB data.",No,Yes,SCORE,Jacky,"Miske logs this as a ""data analytic reproduction"""
q8xv,q8xv_827ww4,"Discrepancy comes from LLM using the original paper code(STATA), and Miske using coder-generated code(R). There is a difference in weighing(LLM - # of survey respondents, Miske - population), and a difference in N.",No,Yes,SCORE,Jacky,"Miske logs this as a ""data analytic reproduction"""
q8xv,q8xv_d4r99j,"Logs for LLM reproduction show 42 r-coefs were negative and 39/45 significant at p<.05, which is precise. Also, Miske data has a lot more Ps compared to LLM data, probably because Miske recreated code from source data, and used different samples.",No,Yes,SCORE,Jacky,"Shouldn't this be 'non-reproduction' for Miske? YI: due to bug in Miske's code when computing some reproduction outcomes. Miske logs this as a ""data analytic reproduction."" Miske's error that this is included"
q8xv,q8xv_ryzpp8,"Discrepancy comes from LLM using STATA from the original paper authors, and Miske using coder-generated code in R. Miske code calculated r with a standalone term by default, hence the positive outcomes. Also, Miske data has a different N from the original paper. It did not use the same sample used in the paper.",No,Yes,SCORE,Jacky,"Shouldn't this be 'non-reproduction' for Miske? YI: due to bug in Miske's code when computing some reproduction outcomes. Miske logs this as a ""data analytic reproduction"""
